author_id,conversation_id,created_at,id,in_reply_to_user_id,like_count,quote_count,reply_count,retweet_count,text
107828130,1482793278605082626,2022-01-16T19:14:01.000Z,1482793278605082626,"",0,0,0,2,RT @g1sorocaba: Irmã de cuidadora de animais que morreu de câncer procura novos donos para mais de 30 cães resgatados https://t.co/9tbIR2G1…
1482393729554161670,1482793052091650049,2022-01-16T19:13:07.000Z,1482793052091650049,"",0,0,0,0,"#Sorocaba #domingo
#familia #empreendedora https://t.co/ud75A8BESR"
134140812,1482792786390917121,2022-01-16T19:12:03.000Z,1482792786390917121,"",0,0,0,12,"RT @contagemcorona1: 🟢SOROCABA (SP)

A ocupação dos leitos para tratamento da #COVID19 na Santa Casa de Sorocaba chegou a 100% de ocupação…"
1329970207654342656,1482791648950161409,2022-01-16T19:07:32.000Z,1482791648950161409,"",0,0,0,0,sdds de ir pra Sorocaba 😠
2760825531,1482791015740321793,2022-01-16T19:05:01.000Z,1482791015740321793,"",1,0,0,0,Se eu tivesse em ******** eu teria chameguinho aq em sorocaba eh so coisa errada
1365109087604719619,1482784722707177472,2022-01-16T19:04:24.000Z,1482790860945346561,1264514560750505985,1,0,1,0,@21_leafar vou te visitar em sorocaba pra ganhar uma surra de rola
1327375214976651268,1482789749219901446,2022-01-16T18:59:59.000Z,1482789749219901446,"",2,0,4,0,"sábado tem show em sorocaba, fica a uma hora e meia daq qro tanto ir mas é tão longe, vou dar meu máximo pra ir"
1343002997048143872,1482789545724755976,2022-01-16T18:59:11.000Z,1482789545724755976,"",0,0,0,0,"🏹💚
No primeiro jogo-treino disputado na pré-temporada em preparação para estreia no Campeonato Paulista, foi derrotado pelo Rio Claro por 2 a 1, no antigo Centro de Treinamento do Atlético Sorocaba. Giovanni Augusto foi o autor do gol do Bugre.
🗞 @lucas_rossafa"
723936529895292928,1482787961603334148,2022-01-16T18:52:53.000Z,1482787961603334148,"",0,0,0,1,RT @zorfes: Essa daqui tá se achando muito! Ajudando a cancelar a coleguinha de trabalho.. Sorocaba  tinha razao..mulher falsa e ingrata 😎
1129147889480011776,1482781185621172225,2022-01-16T18:51:38.000Z,1482787644690116615,1357508108948537346,0,0,1,0,@camissgalmed tô de você sua puta 😭 me deixou um mês sozinha aq em sorocaba
1360672694572875778,1482784533183356938,2022-01-16T18:50:14.000Z,1482787292397846535,1406244086361767936,0,0,0,0,@dudaxissL Sorocaba
2658125534,1482786682709721097,2022-01-16T18:47:49.000Z,1482786686463586312,2658125534,1,0,0,0,"Passou por Portuguesa, Atlético Sorocaba, Boa Esporte, Villa Nova, Tupi, Brusque, CSA (campeão da Série C 2017), Desportivo Aves, Vila Nova, Guarani, CSA (novamente) e Botafogo-SP."
1117469060252545024,1482786043120295940,2022-01-16T18:45:34.000Z,1482786119456628743,59156773,0,0,0,0,@luansantana sorocaba luan💓💓💓
1117469060252545024,1482786043120295940,2022-01-16T18:45:30.000Z,1482786103631527936,59156773,0,0,0,0,@luansantana amor vem para sorocaba por favor
921421010695532545,1482786012707315715,2022-01-16T18:45:08.000Z,1482786012707315715,"",11,0,0,0,"#Guarani | Outros garotos revelados nas categorias de base foram testados por Daniel Paulista em parte do segundo tempo - aproximadamente 20 minutos. Quem também participou foi o atacante Luã Rodrigues, prata da casa - trata-se de um dos convocados para pré-temporada em Sorocaba. https://t.co/TR1i0uLByr"
152789952,1482453724207501319,2022-01-16T18:44:42.000Z,1482785902695002128,396814767,0,0,0,0,@luisasonza Sorocaba/SP
28395000,1482785731970011141,2022-01-16T18:44:01.000Z,1482785731970011141,"",1,0,0,0,Cerca de 80 animais abandonados ou maltratados pelos donos foram resgatados em Araçoiaba da Serra no ano passado https://t.co/J4JO0Gqa1K #g1 #AraçoiabadaSerra https://t.co/pKJ7GPEU22
1096786788989972481,1482785473776992262,2022-01-16T18:43:00.000Z,1482785473776992262,"",0,0,0,12,"RT @contagemcorona1: 🟢SOROCABA (SP)

A ocupação dos leitos para tratamento da #COVID19 na Santa Casa de Sorocaba chegou a 100% de ocupação…"
28395000,1482785441032163337,2022-01-16T18:42:52.000Z,1482785441032163337,"",6,1,0,2,Irmã de cuidadora de animais que morreu de câncer procura novos donos para mais de 30 cães resgatados https://t.co/9tbIR2G1MW #g1 #Sorocaba https://t.co/RGhmw46AUq
1426673235635081217,1482536570687307778,2022-01-16T18:40:49.000Z,1482784925187203073,1303751607780364289,0,0,0,0,@vyniof Sou de Sorocaba admm
1106636432309960704,1482784594499936273,2022-01-16T18:39:30.000Z,1482784594499936273,"",1,0,0,0,"Vocês que estão cancelando Naiara, Bora cancelar outros bost*s? Sorocaba, Gusttavo Lima, Wanessa Camargo, Joelma, Claudia Leitte etc.? #ForaNaiaraAzevedo"
1175777906330652672,1482784320435728396,2022-01-16T18:38:25.000Z,1482784320435728396,"",0,0,0,0,"vou pra Sorocaba sozinha 
nuncafuitriste"
1219836816741806081,1482784095231000586,2022-01-16T18:37:31.000Z,1482784095231000586,"",0,0,0,0,Vai ter sorocaba esse ano?? Só teve em 2020 q sdd
319747167,1482783833070178310,2022-01-16T18:36:29.000Z,1482783833070178310,"",4,0,0,0,"E a vitoria tube com o lipe gente, to passada. Ele foi em Sorocaba ontem, farofa juntando pessoas ein"
1482131483565375498,1482467749683240960,2022-01-16T18:33:25.000Z,1482783060353560583,359569903,0,0,1,0,"@baptista_rose Amado batista que ninguém tem nem definição, e é péssimo pelo visto.
Naiara uma bolsomion aproveitadora, muito bom.
Sorocaba que NINGUÉM tem nem definição dele, ainda é lembrado quando o escroto do Fernando trai a Maiara, aí finalmente a dupla (mais especificamente o Fernando)+"
84418025,1482782466062655493,2022-01-16T18:31:03.000Z,1482782466062655493,"",0,0,0,0,"𝐀𝐔𝐌𝐄𝐍𝐓𝐀𝐑𝐀𝐌 𝐎𝐒 𝐈𝐍𝐓𝐄𝐑𝐍𝐀𝐃𝐎𝐒 - A informação consta do boletim epidemiológico divulgado neste domingo pela Prefeitura de Sorocaba. #pandemia #covid19 #sorocaba #cruzeirofm
https://t.co/nUCvpskxC6"
1339736395028553728,1482781116885090305,2022-01-16T18:25:41.000Z,1482781116885090305,"",0,0,0,0,"Sorocaba como sempre mantendo um sol pra cada um, não tô aguentando mais"
1068302371,1482780306742599682,2022-01-16T18:22:28.000Z,1482780306742599682,"",3,0,0,0,Nunca mais reclamo do calor de Sorocaba... https://t.co/XBe0QQpShM
1044731140484026370,1482083905687769088,2022-01-16T18:19:07.000Z,1482779464186699776,64706049,0,0,0,0,"@jdoriajr @jdoriajr Melhor revisar a logística para a região de Sorocaba, as vacinas só chegaram hoje. 

https://t.co/6BcNYtwm8A"
1473460737695748101,1482778076761231362,2022-01-16T18:13:36.000Z,1482778076761231362,"",0,0,0,6,RT @somusas1: Maravilhosa deliciosa sensacional @BossMirela ela está te esperando para deixar louco de prazrr em Campinas de 17 a 23 e Soro…
